graph_id,source_observer,target_observer,n_edges,source_boundary_nodes,target_boundary_nodes,edge_mi_bits,edge_mi_norm,edge_h_input_bits,live_edge,edges
9,2,0,1,1,1,0.6302408149441479,0.3151204074720739,2.0,1,3->7
9,2,1,1,1,1,0.10050293283546985,0.050251466417734925,2.0,1,0->9
9,4,1,2,2,2,0.6516655074064266,0.16291637685160665,4.0,1,17->9 16->11
10,1,0,1,1,1,0.4221804688852169,0.21109023444260844,2.0,1,1->13
10,4,3,1,1,1,0.10823103525257016,0.05411551762628508,2.0,1,17->8
11,1,0,2,1,2,0.12834914323545643,0.06417457161772822,2.0,1,3->9 3->10
11,2,0,1,1,1,0.12126321635285553,0.060631608176427765,2.0,1,5->9
11,3,0,2,2,2,0.8114938173996773,0.20287345434991932,4.0,1,13->8 14->10
12,1,0,1,1,1,0.0970836625809608,0.0485418312904804,2.0,1,3->13
12,3,0,1,1,1,0.10332303082756811,0.051661515413784054,2.0,1,4->14
12,3,2,1,1,1,0.6431558784658322,0.3215779392329161,2.0,1,5->9
12,4,1,1,1,1,1.048794940695399,0.5243974703476995,2.0,1,17->0
12,4,3,2,2,1,0.7144747564648011,0.17861868911620027,4.0,1,15->5 16->5
13,1,0,1,1,1,0.5306390622295662,0.2653195311147831,2.0,1,1->5
13,3,2,2,2,1,0.4693499160872028,0.1173374790218007,4.0,1,12->11 14->11
13,4,2,1,1,1,0.6493974703476995,0.32469873517384973,2.0,1,17->9
14,1,0,1,1,1,0.2529436713059465,0.12647183565297326,2.0,1,2->12
14,3,0,1,1,1,0.12554346388219395,0.06277173194109698,2.0,1,6->13
14,3,2,2,2,2,0.7770230365439454,0.19425575913598636,4.0,1,7->15 6->17
14,4,0,2,2,2,0.20691760407335735,0.05172940101833934,4.0,1,9->12 11->13
15,1,0,2,2,2,0.07829287885953562,0.019573219714883905,4.0,1,13->8 12->9
15,2,0,1,1,1,0.030020155358267964,0.015010077679133982,2.0,0,0->9
15,2,1,1,1,1,0.07426570138553501,0.037132850692767505,2.0,1,1->14
15,4,0,1,1,1,0.02074815281135134,0.01037407640567567,2.0,0,4->8
15,4,3,2,2,2,0.9685316584988817,0.24213291462472042,4.0,1,6->15 5->16
16,3,1,1,1,1,0.6022170014624826,0.3011085007312413,2.0,1,12->6
16,4,2,1,1,1,0.751614471810182,0.375807235905091,2.0,1,17->11
