graph_id,cycle_id,length,observers,min_edge_mi_bits,mean_edge_mi_bits,product_edge_score,live_cycle,edge_pairs
5,53,6,1 6 4 3 11 7,0.013054413181333047,0.17259020690043614,2.1552101128048574e-08,0,1-6 4-6 3-4 3-11 7-11 1-7
5,54,6,1 6 4 3 15 7,0.013054413181333047,0.2562765715630912,6.045404075326023e-08,0,1-6 4-6 3-4 3-15 7-15 1-7
5,55,6,1 6 5 2 15 7,0.01821641375511085,0.5041270744243006,2.435149439685048e-05,0,1-6 5-6 2-5 2-15 7-15 1-7
5,56,6,1 6 13 14 11 7,0.01821641375511085,0.7376837009311618,7.799231135782969e-05,0,1-6 6-13 13-14 11-14 7-11 1-7
5,57,6,1 6 13 14 15 7,0.01821641375511085,0.8210170342644951,0.000196365506998466,0,1-6 6-13 13-14 14-15 7-15 1-7
5,58,6,1 6 15 3 11 7,0.01821641375511085,0.16875517424786288,3.249374208905152e-08,0,1-6 6-15 3-15 3-11 7-11 1-7
5,59,6,1 6 15 7 2 10,0.01821641375511085,0.29373260646734495,6.593196895621762e-06,0,1-6 6-15 7-15 2-7 2-10 1-10
5,60,6,1 6 15 14 11 7,0.01821641375511085,0.662213779078698,8.46219899525301e-05,0,1-6 6-15 14-15 11-14 7-11 1-7
5,61,6,2 5 6 4 3 15,0.013054413181333047,0.4700484216508232,1.1761526320817214e-05,0,2-5 5-6 4-6 3-4 3-15 2-15
5,62,6,2 5 6 13 14 15,0.13191455193629986,1.0347888843522273,0.038203535285414675,1,2-5 5-6 6-13 13-14 14-15 2-15
5,63,6,2 7 11 3 14 15,0.015608319493469303,0.4226420807448776,7.4944578659512535e-06,0,2-7 7-11 3-11 3-14 14-15 2-15
5,64,6,2 7 11 14 3 15,0.015608319493469303,0.42299511207419926,8.349539593993062e-06,0,2-7 7-11 11-14 3-14 3-15 2-15
5,65,6,3 4 6 13 14 11,0.013054413181333047,0.7865853501616962,8.51296727312897e-05,0,3-4 4-6 6-13 13-14 11-14 3-11
